{'participant':	u'12345'		'response_buttons':	u'DC'		'range_in_instr':	True		'dateStr':	u'05_09_1428'		'autopilot':	False		'exp_id':	u'SNARC'}
12345	SNARC_only	DC	3	lctrl	0.5458240509											
12345	SNARC_only	DC	6	num_separator	0.5411369801											
12345	SNARC_only	DC	4	num_separator	0.5752580166											
12345	SNARC_only	DC	5	lctrl	0.8564271927											
12345	SNARC_only	DC	2	num_separator	0.5459480286											
12345	SNARC_only	DC	1	lctrl	0.7732720375											
12345	SNARC_only	DC	7	lctrl	1.3139200211											
12345	SNARC_only	DC	9	lctrl	0.5832431316											
12345	SNARC_only	DC	4	num_separator	0.5432331562											
12345	SNARC_only	DC	8	num_separator	0.6159670353											
12345	SNARC_only	DC	1	lctrl	0.5407540798											
12345	SNARC_only	DC	4	num_separator	0.6908118725											
12345	SNARC_only	DC	1	num_separator	0.7769479752											
12345	SNARC_only	DC	1	num_separator	1.1171410084											
12345	SNARC_only	DC	4	num_separator	0.4973790646											
12345	SNARC_only	DC	6	num_separator	0.6558530331											
12345	SNARC_only	DC	9	lctrl	0.6227641106											
12345	SNARC_only	DC	7	lctrl	0.5744330883											
12345	SNARC_only	DC	1	num_separator	0.7009048462											
12345	SNARC_only	DC	9	lctrl	1.3166921139											
12345	SNARC_only	DC	5	lctrl	0.5742788315											
12345	SNARC_only	DC	7	lctrl	0.430300951											
12345	SNARC_only	DC	8	num_separator	0.5817539692											
12345	SNARC_only	DC	7	lctrl	0.4644508362											
12345	SNARC_only	DC	3	lctrl	0.5422041416											
12345	SNARC_only	DC	9	lctrl	0.4988729954											
12345	SNARC_only	DC	9	lctrl	0.4251968861											
12345	SNARC_only	DC	8	num_separator	0.6155240536											
12345	SNARC_only	DC	2	num_separator	0.424328804											
12345	SNARC_only	DC	6	num_separator	0.5760509968											
12345	SNARC_only	DC	2	num_separator	0.4588918686											
12345	SNARC_only	DC	7	lctrl	0.4978740215											
12345	SNARC_only	DC	3	lctrl	0.8110001087											
12345	SNARC_only	DC	5	lctrl	0.690418005											
12345	SNARC_only	DC	8	num_separator	0.5833659172											
12345	SNARC_only	DC	8	num_separator	0.4274318218											
12345	SNARC_only	DC	9	num_separator	0.4631159306											
12345	SNARC_only	DC	3	lctrl	0.4635150433											
12345	SNARC_only	DC	2	num_separator	0.541187048											
12345	SNARC_only	DC	6	num_separator	1.8513000011											
12345	SNARC_only	DC	8	num_separator	0.4635138512											
