{'task':	'line'		'participant':	''		'dateStr':	'06_01_1214'		'notation':	'arabic'		'response_buttons':	'CD'		'range_in_instr':	True		'interactive_setting':	False		'autopilot':	False		'exp_id':	'SNARC'}
zsuzsi	SNARC	arabic	CD	up	6	lctrl	0.8894156136																		
zsuzsi	SNARC	arabic	CD	down	7	num_decimal	0.4991502555																		
zsuzsi	SNARC	arabic	CD	up	8	lctrl	0.7254615434																		
zsuzsi	SNARC	arabic	CD	up	3	lctrl	0.6151803622																		
zsuzsi	SNARC	arabic	CD	down	3	num_decimal	0.5440276263																		
zsuzsi	SNARC	arabic	CD	up	7	lctrl	0.705957192																		
zsuzsi	SNARC	arabic	CD	up	1	lctrl	1.135984348																		
zsuzsi	SNARC	arabic	CD	up	1	lctrl	0.520728719																		
zsuzsi	SNARC	arabic	CD	up	7	lctrl	1.3907922253																		
zsuzsi	SNARC	arabic	CD	down	5	num_decimal	0.520340411																		
zsuzsi	SNARC	arabic	CD	down	5	num_decimal	0.7021981311																		
zsuzsi	SNARC	arabic	CD	up	7	lctrl	0.4522039045																		
zsuzsi	SNARC	arabic	CD	down	1	num_decimal	0.4738738855																		
zsuzsi	SNARC	arabic	CD	up	8	lctrl	0.3266871939																		
zsuzsi	SNARC	arabic	CD	down	6	num_decimal	0.4268013771																		
zsuzsi	SNARC	arabic	CD	up	2	lctrl	0.6477366519																		
zsuzsi	SNARC	arabic	CD	up	1	lctrl	0.5202339255																		
zsuzsi	SNARC	arabic	CD	down	9	num_decimal	0.4317433232																		
zsuzsi	SNARC	arabic	CD	down	7	lctrl	0.3661693074																		
zsuzsi	SNARC	arabic	CD	down	4	num_decimal	0.9847871363																		
zsuzsi	SNARC	arabic	CD	up	8	lctrl	0.6346684628																		
zsuzsi	SNARC	arabic	CD	down	5	num_decimal	0.5521731136																		
zsuzsi	SNARC	arabic	CD	up	8	lctrl	0.3935852203																		
zsuzsi	SNARC	arabic	CD	down	9	num_decimal	0.9575598178																		
zsuzsi	SNARC	arabic	CD	down	9	num_decimal	0.4704372741																		
zsuzsi	SNARC	arabic	CD	up	5	lctrl	0.4510197362																		
zsuzsi	SNARC	arabic	CD	down	7	num_decimal	0.6941826502																		
zsuzsi	SNARC	arabic	CD	up	1	lctrl	0.3618042637																		
zsuzsi	SNARC	arabic	CD	down	3	num_decimal	0.8483268116																		
zsuzsi	SNARC	arabic	CD	down	4	num_decimal	0.4867419335																		
zsuzsi	SNARC	arabic	CD	down	6	num_decimal	0.4849971134																		
zsuzsi	SNARC	arabic	CD	up	1	lctrl	0.4784484786																		
zsuzsi	SNARC	arabic	CD	up	4	lctrl	0.5351264781																		
zsuzsi	SNARC	arabic	CD	down	3	num_decimal	0.4403425492																		
zsuzsi	SNARC	arabic	CD	up	7	lctrl	0.4867385123																		
zsuzsi	SNARC	arabic	CD	up	5	lctrl	0.4138469434																		
zsuzsi	SNARC	arabic	CD	up	6	lctrl	0.3346684627																		
zsuzsi	SNARC	arabic	CD	up	6	lctrl	0.5372296706																		
zsuzsi	SNARC	arabic	CD	up	6	lctrl	0.3724143093																		
zsuzsi	SNARC	arabic	CD	down	1	num_decimal	0.5241157226																		
zsuzsi	SNARC	arabic	CD	up	6	lctrl	0.4989415614																		
zsuzsi	SNARC	arabic	CD	up	2	lctrl	0.4593675027																		
zsuzsi	SNARC	arabic	CD	down	5	num_decimal	0.5234224987																		
zsuzsi	SNARC	arabic	CD	up	4	lctrl	0.3853191353																		
zsuzsi	SNARC	arabic	CD	down	6	num_decimal	0.5373382942																		
zsuzsi	SNARC	arabic	CD	up	6	lctrl	0.4466132103																		
zsuzsi	SNARC	arabic	CD	down	3	num_decimal	0.4896816132																		
zsuzsi	SNARC	arabic	CD	up	3	lctrl	0.4685325122																		
zsuzsi	SNARC	arabic	CD	down	5	num_decimal	0.4025642013																		
zsuzsi	SNARC	arabic	CD	down	9	num_decimal	0.4522834477																		
zsuzsi	SNARC	arabic	CD	up	7	lctrl	0.3783060705																		
zsuzsi	SNARC	arabic	CD	up	7	lctrl	0.4902063421																		
zsuzsi	SNARC	arabic	CD	up	3	lctrl	0.6254901962																		
zsuzsi	SNARC	arabic	CD	down	9	num_decimal	1.0375568242																		
zsuzsi	SNARC	arabic	CD	up	4	lctrl	0.5295473303																		
zsuzsi	SNARC	arabic	CD	down	3	num_decimal	1.0041657579																		
zsuzsi	SNARC	arabic	CD	down	4	num_decimal	0.508215622																		
zsuzsi	SNARC	arabic	CD	up	5	lctrl	0.4450595506																		
zsuzsi	SNARC	arabic	CD	down	6	num_decimal	0.6182213954																		
zsuzsi	SNARC	arabic	CD	up	4	lctrl	0.432828704																		
zsuzsi	SNARC	arabic	CD	up	9	lctrl	0.3368738641																		
zsuzsi	SNARC	arabic	CD	down	1	num_decimal	0.5466961745																		
zsuzsi	SNARC	arabic	CD	down	2	num_decimal	1.1300844613																		
zsuzsi	SNARC	arabic	CD	down	7	num_decimal	0.4196544572																		
zsuzsi	SNARC	arabic	CD	down	8	num_decimal	0.3461338122																		
zsuzsi	SNARC	arabic	CD	down	9	num_decimal	0.3488446982																		
zsuzsi	SNARC	arabic	CD	down	2	num_decimal	0.3359249043																		
zsuzsi	SNARC	arabic	CD	up	5	lctrl	0.4499595868																		
zsuzsi	SNARC	arabic	CD	up	5	lctrl	0.339234503																		
zsuzsi	SNARC	arabic	CD	down	3	num_decimal	0.7588419184																		
zsuzsi	SNARC	arabic	CD	down	3	num_decimal	0.4570098573																		
zsuzsi	SNARC	arabic	CD	down	7	num_decimal	0.454313084																		
zsuzsi	SNARC	arabic	CD	down	8	num_decimal	0.3875536169																		
zsuzsi	SNARC	arabic	CD	up	5	lctrl	0.3979293092																		
zsuzsi	SNARC	arabic	CD	up	3	lctrl	0.3570350888																		
zsuzsi	SNARC	arabic	CD	up	6	lctrl	0.3604259413																		
zsuzsi	SNARC	arabic	CD	up	3	lctrl	0.428945624																		
zsuzsi	SNARC	arabic	CD	down	3	num_decimal	0.5529899288																		
zsuzsi	SNARC	arabic	CD	down	5	num_decimal	0.9513533047																		
